"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","IU Indy",75.191,7,73.2828,5,106.765,205,105.935,236,119.291,352,120.527,351,-14.5927,323
"2026","Jackson St.",71.5682,53,69.7697,64,94.1717,353,100.111,328,120.139,356,117.949,327,-17.8381,341
"2026","Jacksonville",65.2384,331,62.9358,355,101.458,296,101.088,314,113.084,281,112.826,247,-11.7383,296
"2026","Jacksonville St.",65.8076,315,64.7723,315,104.649,245,105.449,245,106.405,137,108.95,148,-3.50097,205
"2026","James Madison",67.4805,241,65.5449,271,110.125,140,110.502,149,112.798,277,115.238,289,-4.73645,225
"2026","Kansas",67.7447,229,66.9305,203,113.998,79,121.976,32,98.4828,26,93.9363,8,28.0397,12
"2026","Kansas City",71.4394,58,69.1214,90,94.987,348,95.6513,357,118.035,344,116.335,308,-20.6837,353
"2026","Kansas St.",73.6165,17,71.4438,22,110.79,122,114.744,87,109.218,215,106.477,111,8.26698,91
"2026","Kennesaw St.",73.6167,16,72.2099,15,110.312,133,110.743,140,106.811,150,109.73,169,1.01389,152
"2026","Kent St.",72.9629,23,70.5457,31,112.033,105,111.535,134,109.532,223,109.161,153,2.37416,140
"2026","Kentucky",69.379,150,67.3536,180,117.196,51,120.625,46,102.569,68,99.3491,30,21.2763,30
"2026","La Salle",65.6239,321,64.6636,317,100.131,312,104.273,266,111.656,259,110.845,205,-6.57255,242
"2026","Lafayette",67.3066,247,66.9744,199,102.879,273,102.287,300,112.542,273,115.724,298,-13.4372,307
"2026","Lamar",65.8098,314,64.8957,306,106.297,215,107.027,221,105.244,112,109.243,155,-2.21608,192
"2026","Le Moyne",69.0062,179,68.7554,107,105.117,229,104.073,271,108.21,182,114.542,277,-10.469,284
"2026","Lehigh",67.0777,255,67.0317,195,101.676,291,101.011,316,108.282,187,113.136,251,-12.1256,300
"2026","Liberty",64.6664,341,63.4588,345,117.618,45,119.033,56,106.465,139,109.594,167,9.43891,85
"2026","Lindenwood",73.8387,14,72.8743,8,102.034,288,102.747,289,103.072,75,109.391,158,-6.64337,245
"2026","Lipscomb",71.4505,57,69.7919,63,110.664,126,109.686,166,107.967,175,109.52,163,0.166041,160
"2026","Little Rock",67.5512,239,65.9844,251,100.866,306,103.127,287,111.75,262,115.214,288,-12.0871,299
